OBJECTID,AS_,source,edite_par,Province,ZS,Annee,Source_geo,Territoire,ANTENNE,Groupement,Code_DSNIS,Code_DHIS2,Sce_Sem,Fiabilite,POP_2018,AS1,Shape_Leng,Shape_Area,PCODE
"153",Makongo,,MSF,Bas-Uele,Ganga,,,,,,,,,,,,1.01755529244,0.05365645666,CD5209ZS01AS12
"154",Danga,,MSF,Bas-Uele,Ganga,,,,,,,,,,,,1.09284902111,0.05482982502,CD5209ZS01AS03
"155",Kopi,,MSF,Bas-Uele,Ganga,,,,,,,,,,,,0.88524779855,0.02990556034,CD5209ZS01AS08
"156",Kama,,MSF,Bas-Uele,Ganga,,,,,,,,,,,,1.05015916418,0.05704440949,CD5209ZS01AS07
"157",Nembisili,,MSF,Bas-Uele,Ganga,,,,,,,,,,,,1.47577007400,0.08319606161,
"372",Lobuya,msf,MSF,Equateur,Makanza,,,,,,,,,Haute,,,0.70191943200,0.02578051156,CD4105ZS01AS09
"373",Cadelu,msf,MSF,Equateur,Lolanga Mampoko,,,Bolomba,,,,,,Haute,,,0.97848942017,0.03158661573,CD4108ZS02AS07
"374",Bosombuki,msf,MSF,Equateur,Lolanga Mampoko,,,Bolomba,,,,,,Haute,,,1.32698011035,0.05692527678,CD4108ZS02AS04
"375",Ndongo,msf,MSF,Equateur,Makanza,,,,,,,,,Haute,,,0.67670326342,0.02695172851,CD4105ZS01AS17
"376",Boboka,msf,MSF,Equateur,Makanza,,,,,,,,,Haute,,,0.66774706893,0.02519209630,CD4105ZS01AS01
"377",Bonginda,msf,MSF,Equateur,Makanza,,,,,,,,,Haute,,,0.67534425659,0.01602653347,CD4105ZS01AS04
"378",Bongwela,msf,MSF,Equateur,Makanza,,,,,,,,,Haute,,,0.78448469448,0.01822930526,CD4105ZS01AS05
"379",Fin-Terme,msf,MSF,Equateur,Makanza,,,,,,,,,Haute,,,0.52397702412,0.01424451385,CD4105ZS01AS11
"380",Likuba,msf,MSF,Equateur,Makanza,,,,,,,,,Haute,,,0.44342481958,0.01174381351,CD4105ZS01AS07
"381",Bokonzi,msf,MSF,Equateur,Makanza,,,,,,,,,Haute,,,0.80497836992,0.02779323022,CD4105ZS01AS02
"382",Lusengo,msf,MSF,Equateur,Makanza,,,,,,,,,Haute,,,0.75580330555,0.03090140712,CD4105ZS01AS10
"383",Malunza,msf,MSF,Equateur,Makanza,,,,,,,,,Haute,,,0.75868766128,0.03172510086,CD4105ZS01AS13
"384",Mobeka,msf,MSF,Equateur,Makanza,,,,,,,,,Haute,,,0.62626038623,0.01500085098,CD4105ZS01AS15
"385",Mission,msf,MSF,Equateur,Makanza,,,,,,,,,Haute,,,1.14483061902,0.03842478939,CD4105ZS01AS14
"386",Ndamana,,,Bas-Uele,Ango,,,,,,,,,,,,4.24603973527,0.40812776086,CD5207ZS01AS19
"387",Bokoyo,,,Bas-Uele,Ango,,,,,,,,,,,,4.06057362781,0.40241804405,CD5207ZS01AS08
"388",Mainika,,,Bas-Uele,Ango,,,,,,,,,,,,1.47804057713,0.08822549128,CD5207ZS01AS14
"389",Buye,,,Bas-Uele,Ango,,,,,,,,,,,,1.43340856184,0.10385217109,CD5207ZS01AS09
"390",Zamoyi,,,Bas-Uele,Ango,,,,,,,,,,,,1.44717123737,0.10567496594,CD5207ZS01AS23
"391",Banda,,,Bas-Uele,Ango,,,,,,,,,,,,0.88896524766,0.04240984043,CD5207ZS01AS05
"392",Mugalie,,,Bas-Uele,Ango,,,,,,,,,,,,1.09943521537,0.05929170674,CD5207ZS01AS16
"393",Sangwa,,,Bas-Uele,Ango,,,,,,,,,,,,0.69450039889,0.02616549590,CD5207ZS01AS21
"394",Samungu,,,Bas-Uele,Ango,,,,,,,,,,,,1.57653705252,0.13401664077,CD5207ZS01AS20
"395",Dakwa,,,Bas-Uele,Ango,,,,,,,,,,,,0.85736057950,0.03057136004,CD5207ZS01AS10
"396",Bandueli,,,Bas-Uele,Ango,,,,,,,,,,,,0.44029608237,0.01079291876,CD5207ZS01AS06
"397",Bondeko,,,Bas-Uele,Monga,,,Bondo,,,,,,,,,2.44011572035,0.25897476590,CD5206ZS03AS03
"398",Nzeret,,,Bas-Uele,Monga,,,Bondo,,,,,,,,,1.04650631140,0.04255076993,CD5206ZS03AS09
"399",Biasu,,,Bas-Uele,Monga,,,Bondo,,,,,,,,,1.11915679215,0.02424783530,CD5206ZS03AS02
"400",Kolo,,,Bas-Uele,Monga,,,Bondo,,,,,,,,,1.07692681433,0.02643735919,CD5206ZS03AS04
"401",Bella,,,Bas-Uele,Monga,,,Bondo,,,,,,,,,1.06625690690,0.03784574610,CD5206ZS03AS01
"402",Monga Ii,,,Bas-Uele,Monga,,,Bondo,,,,,,,,,0.35378489732,0.00695380341,CD5206ZS03AS08
"403",Monga I,,,Bas-Uele,Monga,,,Bondo,,,,,,,,,0.49456722000,0.01212092731,CD5206ZS03AS07
"404",,,,Bas-Uele,Monga,,,Bondo,,,,,,,,,0.41312866700,0.00622427501,
"405",Sombe,,,Bas-Uele,Monga,,,Bondo,,,,,,,,,0.66310237627,0.02281286574,CD5206ZS03AS10
"406",Mengi,,,Bas-Uele,Monga,,,Bondo,,,,,,,,,1.09026358884,0.05037228179,CD5206ZS03AS06
"446",Panzi,OCHA,MSF & OCHA,Sud-Kivu,Ibanda,2017-10-30,,Bukavu,,,,,,Tres haute,,,0.11054400234,0.00048921054,CD6201ZS02AS02
"447",Maria,OCHA,MSF & OCHA,Sud-Kivu,Kadutu,2017-10-30,,Bukavu,,,,,,Tres haute,,,0.08627935102,0.00018095229,CD6201ZS03AS02
"448",S.O.S,OCHA,MSF & OCHA,Sud-Kivu,Kadutu,2017-10-30,,Bukavu,,,,,,Tres haute,,,0.04710127817,0.00006650504,
"449",Ciriri,OCHA,MSF & OCHA,Sud-Kivu,Kadutu,2017-10-30,,Bukavu,,,,,,Tres haute,,,0.09236620851,0.00031043920,CD6201ZS03AS05
"450",8ème CAPAC,OCHA,MSF & OCHA,Sud-Kivu,Kadutu,2017-10-30,,Bukavu,,,,,,Tres haute,,,0.05792928030,0.00009905163,
"451",CECA 40 Mweze,OCHA,MSF & OCHA,Sud-Kivu,Kadutu,2017-10-30,,Bukavu,,,,,,Tres haute,,,0.05629185574,0.00005463311,CD6201ZS03AS08
"452",Neema,OCHA,MSF & OCHA,Sud-Kivu,Kadutu,2017-10-30,,Bukavu,,,,,,Tres haute,,,0.03915656066,0.00004500436,CD6201ZS03AS12
"453",Uzima,OCHA,MSF & OCHA,Sud-Kivu,Kadutu,2017-10-30,,Bukavu,,,,,,Tres haute,,,0.03016475318,0.00002955114,CD6201ZS03AS03
"454",Cimpunda-Maendeleo,OCHA,MSF & OCHA,Sud-Kivu,Kadutu,2017-10-30,,Bukavu,,,,,,Tres haute,,,0.03470376317,0.00004319868,CD6201ZS03AS10
"455",Nyamulagira,OCHA,MSF & OCHA,Sud-Kivu,Kadutu,2017-10-30,,Bukavu,,,,,,Tres haute,,,0.02009798250,0.00001683580,CD6201ZS03AS06
"456",Biname,OCHA,MSF & OCHA,Sud-Kivu,Kadutu,2017-10-30,,Bukavu,,,,,,Tres haute,,,0.02858654647,0.00003774593,CD6201ZS03AS11
"457",Funu,OCHA,MSF & OCHA,Sud-Kivu,Kadutu,2017-10-30,,Bukavu,,,,,,Tres haute,,,0.02358874386,0.00002587989,CD6201ZS03AS04
"458",Nyamugo,OCHA,MSF & OCHA,Sud-Kivu,Kadutu,2017-10-30,,Bukavu,,,,,,Tres haute,,,0.02841073063,0.00002613830,CD6201ZS03AS07
"459",Labotte,OCHA,MSF & OCHA,Sud-Kivu,Ibanda,2017-10-30,,Bukavu,,,,,,Tres haute,,,0.05042003105,0.00005183350,CD6201ZS02AS17
"460",Saio,OCHA,MSF & OCHA,Sud-Kivu,Ibanda,2017-10-30,,Bukavu,,,,,,Tres haute,,,0.04932766010,0.00005459337,CD6201ZS02AS16
"461",CECA 40 Nguba,OCHA,MSF & OCHA,Sud-Kivu,Ibanda,2017-10-30,,Bukavu,,,,,,Tres haute,,,0.10963317916,0.00015423977,CD6201ZS02AS08
"462",Nyawera,OCHA,MSF & OCHA,Sud-Kivu,Ibanda,2017-10-30,,Bukavu,,,,,,Tres haute,,,0.09224560056,0.00016462999,CD6201ZS02AS05
"463",Croix -Rouge Nguba,OCHA,MSF & OCHA,Sud-Kivu,Ibanda,2017-10-30,,Bukavu,,,,,,Tres haute,,,0.04662899739,0.00007702650,CD6201ZS02AS04
"464",Malkia wa amani,OCHA,MSF & OCHA,Sud-Kivu,Ibanda,2017-10-30,,Bukavu,,,,,,Tres haute,,,0.04808720475,0.00006623961,CD6201ZS02AS01
"465",Muhungu Diocesain,OCHA,MSF & OCHA,Sud-Kivu,Ibanda,2017-10-30,,Bukavu,,,,,,Tres haute,,,0.05376149634,0.00005255101,CD6201ZS02AS03
"466",Muhungu CELPA,OCHA,MSF & OCHA,Sud-Kivu,Ibanda,2017-10-30,,Bukavu,,,,,,Tres haute,,,0.03846384017,0.00005353192,
"467",Maman Mwilu,OCHA,MSF & OCHA,Sud-Kivu,Ibanda,2017-10-30,,Bukavu,,,,,,Tres haute,,,0.05897275107,0.00006976803,CD6201ZS02AS15
"468",Gihamba,OCHA,MSF & OCHA,Sud-Kivu,Ibanda,2017-10-30,,Bukavu,,,,,,Tres haute,,,0.03013093473,0.00002654268,CD6201ZS02AS06
"469",Cidasa,OCHA,MSF & OCHA,Sud-Kivu,Ibanda,2017-10-30,,Bukavu,,,,,,Tres haute,,,0.08919058816,0.00024601743,CD6201ZS02AS10
"470",Chahi,OCHA,MSF & OCHA,Sud-Kivu,Ibanda,2017-10-30,,Bukavu,,,,,,Tres haute,,,0.03129577185,0.00003262341,CD6201ZS02AS09
"471",Kabuye,OCHA,MSF & OCHA,Sud-Kivu,Ibanda,2017-10-30,,Bukavu,,,,,,Tres haute,,,0.03924867107,0.00002285233,CD6201ZS02AS14
"472",Burhiba,OCHA,MSF & OCHA,Sud-Kivu,Bagira,2017-10-30,,Bukavu,,,,,,Tres haute,,,0.07455363991,0.00017211461,CD6201ZS01AS01
"473",Lumu,OCHA,MSF & OCHA,Sud-Kivu,Bagira,2017-10-30,,Bukavu,,,,,,Tres haute,,,0.03919847657,0.00004251250,CD6201ZS01AS08
"474",Beroya,OCHA,MSF & OCHA,Sud-Kivu,Bagira,2017-10-30,,Bukavu,,,,,,Tres haute,,,0.04016832483,0.00004720310,
"475",Bagira,OCHA,MSF & OCHA,Sud-Kivu,Bagira,2017-10-30,,Bukavu,,,,,,Tres haute,,,0.03925486296,0.00004565567,CD6201ZS01AS02
"476",Mushekere,OCHA,MSF & OCHA,Sud-Kivu,Bagira,2017-10-30,,Bukavu,,,,,,Tres haute,,,0.12287856422,0.00069090134,CD6201ZS01AS05
"477",Kahero,OCHA,MSF & OCHA,Sud-Kivu,Bagira,2017-10-30,,Bukavu,,,,,,Tres haute,,,0.07094014105,0.00013141459,CD6201ZS01AS07
"478",Nyamuhinga,OCHA,MSF & OCHA,Sud-Kivu,Bagira,2017-10-30,,Bukavu,,,,,,Tres haute,,,0.09412659179,0.00040736251,CD6201ZS01AS04
"479",Ciguri,OCHA,MSF & OCHA,Sud-Kivu,Bagira,2017-10-30,,Bukavu,,,,,,Tres haute,,,0.10992000109,0.00056336651,CD6201ZS01AS06
"480",Buziba,OCHA,MSF & OCHA,Sud-Kivu,Mwenga,2017-10-30,,Mwenga,,,,,,,,,0.60262656956,0.01097678435,CD6212ZS05AS03
"481",Cowe,OCHA,MSF & OCHA,Sud-Kivu,Mwenga,2017-10-30,,Mwenga,,,,,,,,,0.13852248774,0.00069442947,CD6212ZS05AS04
"482",Kilambwigali,OCHA,MSF & OCHA,Sud-Kivu,Mwenga,2017-10-30,,Mwenga,,,,,,,,,0.44063611986,0.00527286028,CD6212ZS05AS06
"483",Kasika,OCHA,MSF & OCHA,Sud-Kivu,Mwenga,2017-10-30,,Mwenga,,,,,,,,,0.39628724291,0.00494637736,CD6212ZS05AS09
"484",Kilimbwe,OCHA,MSF & OCHA,Sud-Kivu,Mwenga,2017-10-30,,Mwenga,,,,,,,,,1.29815355881,0.04613147399,CD6212ZS05AS11
"485",Irangi,OCHA,MSF & OCHA,Sud-Kivu,Mwenga,2017-10-30,,Mwenga,,,,,,,,,0.75361005294,0.03310554105,CD6212ZS05AS05
"486",Kalambi,OCHA,MSF & OCHA,Sud-Kivu,Mwenga,2017-10-30,,Mwenga,,,,,,,,,0.37143793428,0.00669023400,CD6212ZS05AS07
"487",Ngando,OCHA,MSF & OCHA,Sud-Kivu,Mwenga,2017-10-30,,Mwenga,,,,,,,,,0.68373630975,0.01085515791,CD6212ZS05AS17
"488",Sungwe,OCHA,MSF & OCHA,Sud-Kivu,Mwenga,2017-10-30,,Mwenga,,,,,,,,,0.25444303793,0.00405970768,CD6212ZS05AS18
"489",Iganda,OCHA,MSF & OCHA,Sud-Kivu,Mwenga,2017-10-30,,Mwenga,,,,,,,,,0.39998611094,0.00932467309,CD6212ZS05AS02
"490",Kalole,OCHA,MSF & OCHA,Sud-Kivu,Mwenga,2017-10-30,,Mwenga,,,,,,,,,0.20779033039,0.00196141828,CD6212ZS05AS08
"491",Kitamba,OCHA,MSF & OCHA,Sud-Kivu,Mwenga,2017-10-30,,Mwenga,,,,,,,,,0.34344903116,0.00505378024,CD6212ZS05AS13
"492",Tuseswa,OCHA,MSF & OCHA,Sud-Kivu,Mwenga,2017-10-30,,Mwenga,,,,,,,,,0.37869201193,0.00604426990,CD6212ZS05AS16
"493",Kitagana,OCHA,MSF & OCHA,Sud-Kivu,Mwenga,2017-10-30,,Mwenga,,,,,,,,,0.39993262952,0.00570690716,CD6212ZS05AS12
"494",Bisembe,OCHA,MSF & OCHA,Sud-Kivu,Mwenga,2017-10-30,,Mwenga,,,,,,,,,0.83975361477,0.02193864643,CD6212ZS05AS01
"495",Mulombozi,OCHA,MSF & OCHA,Sud-Kivu,Mwenga,2017-10-30,,Mwenga,,,,,,,,,0.73320392470,0.01379051334,CD6212ZS05AS15
"496",Kibanda,OCHA,MSF & OCHA,Sud-Kivu,Mwenga,2017-10-30,,Mwenga,,,,,,,,,0.36947374271,0.00570058179,CD6212ZS05AS10
"497",Matebo,OCHA,MSF & OCHA,Sud-Kivu,Kitutu,2017-10-30,,Mwenga,,,,,,,,,0.35368948068,0.00519813435,CD6212ZS03AS18
"498",Kagelagela,OCHA,MSF & OCHA,Sud-Kivu,Kitutu,2017-10-30,,Mwenga,,,,,,,,,0.40424711467,0.00547539257,CD6212ZS03AS07
"499",Kazuza,OCHA,MSF & OCHA,Sud-Kivu,Kitutu,2017-10-30,,Mwenga,,,,,,,,,0.44922508956,0.00692981545,CD6212ZS03AS17
"500",Byonga,OCHA,MSF & OCHA,Sud-Kivu,Kitutu,2017-10-30,,Mwenga,,,,,,,,,1.24817299509,0.07727323476,CD6212ZS03AS06
"501",Kakolokelwa,OCHA,MSF & OCHA,Sud-Kivu,Kitutu,2017-10-30,,Mwenga,,,,,,,,,0.56678284664,0.00867791310,CD6212ZS03AS15
"502",Tukenga,OCHA,MSF & OCHA,Sud-Kivu,Kitutu,2017-10-30,,Mwenga,,,,,,,,,0.38169561057,0.00776156963,CD6212ZS03AS16
"503",Espoir,OCHA,MSF & OCHA,Sud-Kivu,Kitutu,2017-10-30,,Mwenga,,,,,,,,,0.40119404152,0.00559063517,CD6212ZS03AS12
"504",Mwangaza,OCHA,MSF & OCHA,Sud-Kivu,Kitutu,2017-10-30,,Mwenga,,,,,,,,,0.39918333875,0.00497669700,CD6212ZS03AS05
"505",Busakizi,OCHA,MSF & OCHA,Sud-Kivu,Kitutu,2017-10-30,,Mwenga,,,,,,,,,0.41186934627,0.00521447658,CD6212ZS03AS03
"506",Sugulu,OCHA,MSF & OCHA,Sud-Kivu,Kitutu,2017-10-30,,Mwenga,,,,,,,,,0.33117360149,0.00318449739,CD6212ZS03AS09
"507",Nyamibungu,OCHA,MSF & OCHA,Sud-Kivu,Kitutu,2017-10-30,,Mwenga,,,,,,,,,0.42206277984,0.00454908285,CD6212ZS03AS10
"508",Cobader-Mitobo,OCHA,MSF & OCHA,Sud-Kivu,Kitutu,2017-10-30,,Mwenga,,,,,,,,,0.29901402412,0.00301987091,
"509",Mela,OCHA,MSF & OCHA,Sud-Kivu,Kitutu,2017-10-30,,Mwenga,,,,,,,,,0.41362727865,0.00764221198,CD6212ZS03AS19
