OBJECTID,AS_,source,edite_par,Province,ZS,Annee,Source_geo,Territoire,ANTENNE,Groupement,Code_DSNIS,Code_DHIS2,Sce_Sem,Fiabilite,POP_2018,AS1,Shape_Leng,Shape_Area,PCODE
"510",Kakemenge,OCHA,MSF & OCHA,Sud-Kivu,Kitutu,2017-10-30,,Mwenga,,,,,,,,,0.31806529510,0.00587241154,CD6212ZS03AS01
"511",Butetegele,OCHA,MSF & OCHA,Sud-Kivu,Kitutu,2017-10-30,,Mwenga,,,,,,,,,0.31985749257,0.00422856620,CD6212ZS03AS04
"512",Kabikokole,OCHA,MSF & OCHA,Sud-Kivu,Kitutu,2017-10-30,,Mwenga,,,,,,,,,0.28071599065,0.00439220696,CD6212ZS03AS14
"513",Mukemenge,OCHA,MSF & OCHA,Sud-Kivu,Kitutu,2017-10-30,,Mwenga,,,,,,,,,0.28695739197,0.00400380562,CD6212ZS03AS21
"514",Mapale,OCHA,MSF & OCHA,Sud-Kivu,Kitutu,2017-10-30,,Mwenga,,,,,,,,,0.19792002305,0.00213036672,CD6212ZS03AS08
"515",Makalanga,OCHA,MSF & OCHA,Sud-Kivu,Kitutu,2017-10-30,,Mwenga,,,,,,,,,0.22681208244,0.00314233600,CD6212ZS03AS11
"516",Nyakatulwa,OCHA,MSF & OCHA,Sud-Kivu,Kitutu,2017-10-30,,Mwenga,,,,,,,,,0.30422352689,0.00428346527,CD6212ZS03AS22
"517",Bakongo,OCHA,MSF & OCHA,Sud-Kivu,Kitutu,2017-10-30,,Mwenga,,,,,,,,,0.30351967636,0.00550701784,CD6212ZS03AS02
"518",Isogha,OCHA,MSF & OCHA,Sud-Kivu,Kitutu,2017-10-30,,Mwenga,,,,,,,,,1.04724276043,0.04071278893,CD6212ZS03AS13
"519",Cremetral,OCHA,MSF & OCHA,Sud-Kivu,Kamituga,2017-10-30,,Mwenga,,,,,,,,,0.26279932567,0.00310160205,
"520",Isopo,OCHA,MSF & OCHA,Sud-Kivu,Kamituga,2017-10-30,,Mwenga,,,,,,,,,0.64426952685,0.01476211839,CD6212ZS02AS10
"521",Kigalama,OCHA,MSF & OCHA,Sud-Kivu,Kamituga,2017-10-30,,Mwenga,,,,,,,,,0.32654607689,0.00501331297,CD6212ZS02AS15
"522",Kankanga,OCHA,MSF & OCHA,Sud-Kivu,Kamituga,2017-10-30,,Mwenga,,,,,,,,,0.30276218022,0.00437347574,CD6212ZS02AS13
"523",Kibe,OCHA,MSF & OCHA,Sud-Kivu,Kamituga,2017-10-30,,Mwenga,,,,,,,,,1.40486628974,0.06337100418,CD6212ZS02AS07
"524",Bungalama,OCHA,MSF & OCHA,Sud-Kivu,Kamituga,2017-10-30,,Mwenga,,,,,,,,,0.45486299184,0.01220512991,CD6212ZS02AS06
"525",Ngolole,OCHA,MSF & OCHA,Sud-Kivu,Kamituga,2017-10-30,,Mwenga,,,,,,,,,0.21427652040,0.00249726908,CD6212ZS02AS21
"526",Mulambula,OCHA,MSF & OCHA,Sud-Kivu,Kamituga,2017-10-30,,Mwenga,,,,,,,,,0.29544883154,0.00391769284,CD6212ZS02AS18
"527",Ngambwa,OCHA,MSF & OCHA,Sud-Kivu,Kamituga,2017-10-30,,Mwenga,,,,,,,,,0.25291314612,0.00368377804,CD6212ZS02AS20
"528",Bigombe,OCHA,MSF & OCHA,Sud-Kivu,Kamituga,2017-10-30,,Mwenga,,,,,,,,,0.96552764373,0.03353835080,CD6212ZS02AS05
"529",Mboza,OCHA,MSF & OCHA,Sud-Kivu,Kamituga,2017-10-30,,Mwenga,,,,,,,,,0.72836056909,0.02865599130,CD6212ZS02AS17
"530",Kalingi,OCHA,MSF & OCHA,Sud-Kivu,Kamituga,2017-10-30,,Mwenga,,,,,,,,,0.14080457050,0.00107852436,CD6212ZS02AS12
"531",Kimbangu,OCHA,MSF & OCHA,Sud-Kivu,Kamituga,2017-10-30,,Mwenga,,,,,,,,,0.10452821925,0.00062909493,CD6212ZS02AS08
"532",Kele-SIDEM,OCHA,MSF & OCHA,Sud-Kivu,Kamituga,2017-10-30,,Mwenga,,,,,,,,,0.04951334996,0.00011788006,
"533",Kele-CEPAC,OCHA,MSF & OCHA,Sud-Kivu,Kamituga,2017-10-30,,Mwenga,,,,,,,,,0.04379994835,0.00010133139,CD6212ZS02AS14
"534",Asuku,OCHA,MSF & OCHA,Sud-Kivu,Kamituga,2017-10-30,,Mwenga,,,,,,,,,0.08184284992,0.00036053696,CD6212ZS02AS02
"535",Asobaka,OCHA,MSF & OCHA,Sud-Kivu,Kamituga,2017-10-30,,Mwenga,,,,,,,,,0.09577382088,0.00041721562,
"536",Luliba,OCHA,MSF & OCHA,Sud-Kivu,Kamituga,2017-10-30,,Mwenga,,,,,,,,,0.15298418922,0.00094627456,CD6212ZS02AS16
"537",Polyclinique-Afya,OCHA,MSF & OCHA,Sud-Kivu,Kamituga,2017-10-30,,Mwenga,,,,,,,,,0.14450607955,0.00104982808,CD6212ZS02AS22
"538",Katunga,OCHA,MSF & OCHA,Sud-Kivu,Kamituga,2017-10-30,,Mwenga,,,,,,,,,0.10731039144,0.00057744414,CD6212ZS02AS03
"539",Solu,OCHA,MSF & OCHA,Sud-Kivu,Kamituga,2017-10-30,,Mwenga,,,,,,,,,0.04944818868,0.00013676483,CD6212ZS02AS01
"540",Mero,OCHA,MSF & OCHA,Sud-Kivu,Kamituga,2017-10-30,,Mwenga,,,,,,,,,0.09726309359,0.00053994244,CD6212ZS02AS11
"541",Mungembe,OCHA,MSF & OCHA,Sud-Kivu,Shabunda,2017-10-30,,Shabunda,,,,,,Moyenne,,,1.00097500150,0.03101142038,CD6203ZS04AS02
"542",Kalole,OCHA,MSF & OCHA,Sud-Kivu,Shabunda,2017-10-30,,Shabunda,,,,,,Moyenne,,,0.40122768326,0.00820402706,CD6203ZS04AS07
"543",Kassa,OCHA,MSF & OCHA,Sud-Kivu,Shabunda,2017-10-30,,Shabunda,,,,,,Moyenne,,,0.48896622886,0.01121897380,CD6203ZS04AS08
"544",Masanga-Sud,OCHA,MSF & OCHA,Sud-Kivu,Shabunda,2017-10-30,,Shabunda,,,,,,Moyenne,,,0.66376522724,0.01198786832,CD6203ZS04AS15
"545",Miswaki,OCHA,MSF & OCHA,Sud-Kivu,Shabunda,2017-10-30,,Shabunda,,,,,,Moyenne,,,0.53741020293,0.01335745564,CD6203ZS04AS06
"546",Tusisi,OCHA,MSF & OCHA,Sud-Kivu,Shabunda,2017-10-30,,Shabunda,,,,,,Moyenne,,,0.65963666401,0.02209354374,CD6203ZS04AS17
"547",Kimbondi-Sud,OCHA,MSF & OCHA,Sud-Kivu,Shabunda,2017-10-30,,Shabunda,,,,,,Moyenne,,,0.59535695456,0.01277116002,CD6203ZS04AS12
"548",Kikamba,OCHA,MSF & OCHA,Sud-Kivu,Shabunda,2017-10-30,,Shabunda,,,,,,Moyenne,,,0.80858102226,0.02944486418,CD6203ZS04AS11
"549",Kipulu,OCHA,MSF & OCHA,Sud-Kivu,Shabunda,2017-10-30,,Shabunda,,,,,,Moyenne,,,1.72848196079,0.10203276846,CD6203ZS04AS09
"550",Matili,OCHA,MSF & OCHA,Sud-Kivu,Shabunda,2017-10-30,,Shabunda,,,,,,Moyenne,,,0.57409112658,0.01583652896,CD6203ZS04AS01
"551",Tuntungulu,OCHA,MSF & OCHA,Sud-Kivu,Shabunda,2017-10-30,,Shabunda,,,,,,Moyenne,,,0.34878978016,0.00795332114,CD6203ZS04AS20
"552",Tukumbi,OCHA,MSF & OCHA,Sud-Kivu,Shabunda,2017-10-30,,Shabunda,,,,,,Moyenne,,,0.25610483854,0.00271634051,CD6203ZS04AS04
"553",Lupimbi,OCHA,MSF & OCHA,Sud-Kivu,Shabunda,2017-10-30,,Shabunda,,,,,,Moyenne,,,0.56957776963,0.01681631307,CD6203ZS04AS13
"554",Ngingi,OCHA,MSF & OCHA,Sud-Kivu,Shabunda,2017-10-30,,Shabunda,,,,,,Moyenne,,,1.00402703036,0.03181383265,CD6203ZS04AS18
"555",Nyalubwe,OCHA,MSF & OCHA,Sud-Kivu,Shabunda,2017-10-30,,Shabunda,,,,,,Moyenne,,,0.60335874512,0.01405152213,CD6203ZS04AS10
"556",Mbangayo,OCHA,MSF & OCHA,Sud-Kivu,Shabunda,2017-10-30,,Shabunda,,,,,,Moyenne,,,0.08468430068,0.00032042034,CD6203ZS04AS16
"557",Dima,OCHA,MSF & OCHA,Sud-Kivu,Shabunda,2017-10-30,,Shabunda,,,,,,Moyenne,,,0.06356821214,0.00017049683,CD6203ZS04AS05
"558",Makese,OCHA,MSF & OCHA,Sud-Kivu,Shabunda,2017-10-30,,Shabunda,,,,,,Moyenne,,,0.69657017956,0.01732407515,CD6203ZS04AS14
"559",Tchombi,OCHA,MSF & OCHA,Sud-Kivu,Shabunda,2017-10-30,,Shabunda,,,,,,Moyenne,,,0.64209685237,0.01516104738,CD6203ZS04AS19
"560",Bubila,OCHA,MSF & OCHA,Sud-Kivu,Shabunda,2017-10-30,,Shabunda,,,,,,Moyenne,,,0.58159710932,0.01184122265,CD6203ZS04AS03
"561",Mutabo,,MSF & OCHA,Nord-Kivu,Rwanguba,2018-12-29,,Rutshuru,,,,,DSNIS,Basse,,,0.14626955730,0.00136432215,CD6111ZS06AS11
"562",Ishasha,,MSF & OCHA,Nord-Kivu,Binza,2018-12-29,,Rutshuru,,,,,DSNIS,Basse,,,0.65253159392,0.01225127105,CD6111ZS02AS05
"563",Nyaruhange,,MSF & OCHA,Nord-Kivu,Binza,2018-12-29,,Rutshuru,,,,,DSNIS,Basse,,,0.65254405189,0.01514290987,CD6111ZS02AS03
"564",Kiseguro,,MSF & OCHA,Nord-Kivu,Binza,2018-12-29,,Rutshuru,,,,,DSNIS,Basse,,,0.38084051144,0.00518782226,CD6111ZS02AS07
"565",Katwiguro,,MSF & OCHA,Nord-Kivu,Binza,2018-12-29,,Rutshuru,,,,,DSNIS,Basse,,,0.51573043226,0.00782068570,CD6111ZS02AS04
"566",Munyaga,,MSF & OCHA,Nord-Kivu,Binza,2018-12-29,,Rutshuru,,,,,DSNIS,Basse,,,0.25846243533,0.00212335054,CD6111ZS02AS09
"567",Kisharo,,MSF & OCHA,Nord-Kivu,Binza,2018-12-29,,Rutshuru,,,,,DSNIS,Basse,,,0.49624515465,0.00677442294,CD6111ZS02AS08
"568",Nyamitwitwi,,MSF & OCHA,Nord-Kivu,Binza,2018-12-29,,Rutshuru,,,,,DSNIS,Basse,,,0.60678711750,0.01421087119,
"569",Check Mamawahuruma,,MSF & OCHA,Nord-Kivu,Manguredjipa,2017-10-30,,Lubero,,,,,DSNIS,Basse,,,0.49156036565,0.01199546507,
"570",Kibirizi,,MSF & OCHA,Nord-Kivu,Kibirizi,2018-12-29,,Rutshuru,,,,,DSNIS,Basse,,,0.57909556191,0.00616845453,CD6111ZS04AS13
"571",Kabati,,MSF & OCHA,Nord-Kivu,Kibirizi,2018-12-29,,Rutshuru,,,,,DSNIS,Basse,,,0.26834494606,0.00293908575,CD6111ZS04AS08
"572",Nyanzale,,MSF & OCHA,Nord-Kivu,Kibirizi,2018-12-29,,Rutshuru,,,,,DSNIS,Basse,,,0.19655566781,0.00184988710,
