PROVINCE,TERRITOIRE,SCE_GEO,Nom,Pcode,cle,Sce_Sem,Modif,Code_DHIS2,Fiabilite,Code_SNIS,Anc_provin
Nord-Ubangi,Gbadolite,OMS,Gbadolite,CD4301ZS01,GbadoliteNord-Ubangi,DSNIS,,lIWxyiAegfN,,,Equateur
Nord-Ubangi,Mobayi-Mbongo,MSF,Mobayi Mbongo,CD4302ZS01,Mobayi MbongoNord-Ubangi,DSNIS,,e3onjTOWxjS,Basse,,Equateur
Nord-Ubangi,Yakoma,MSF,Yakoma,CD4304ZS04,YakomaNord-Ubangi,DSNIS,2019-12-30,Bou7OgEKEp1,Basse,,Equateur
Bas-Uele,Bondo,OMS,Monga,CD5206ZS03,MongaBas-Uele,DSNIS,,jFTjaBOa844,,,Oriental
Bas-Uele,Bondo,OMS,Bili,CD5206ZS01,BiliBas-Uele,DSNIS,,CO06cO2i4Nm,,,Oriental
Bas-Uele,Ango,OMS,Ango,CD5207ZS01,AngoBas-Uele,DSNIS,,rLPkZegjzaS,,,Oriental
Kasaï-Central,Dimbelenge,Div_snis,Bena Tshiadi,CD9107ZS01,Bena TshiadiKasaï-Central,DSNIS,,CXIGn9khu8A,,,Kasai-Occidental
Kasaï-Central,Luiza,Div_snis,Yangala,CD9104ZS04,YangalaKasaï-Central,DSNIS,,OxPPcQLweov,,,Kasai-Occidental
Kasaï-Central,Dimbelenge,Div_snis,Muetshi,CD9107ZS04,MuetshiKasaï-Central,DSNIS,,Ied3F9RYVfg,,,Kasai-Occidental
Kasaï-Central,Dibaya,Div_snis,Tshikula,CD9102ZS04,TshikulaKasaï-Central,DSNIS,,k3UBz1nclY7,,,Kasai-Occidental
Kasaï-Central,Kazumba,Div_snis,Tshibala,CD9105ZS05,TshibalaKasaï-Central,DSNIS,,AH4FtBD4MqK,,,Kasai-Occidental
Kasaï-Central,Luiza,Div_snis,Masuika,CD9104ZS03,MasuikaKasaï-Central,DSNIS,,hi9gSpIVzai,,,Kasai-Occidental
Kasaï-Central,Luiza,Div_snis,Luiza,CD9104ZS02,LuizaKasaï-Central,DSNIS,,etpyShZCZEs,,,Kasai-Occidental
Kasaï-Central,Kananga,Div_snis,Katoka,CD9101ZS03,KatokaKasaï-Central,DSNIS,,dwBRSfVBpk6,,,Kasai-Occidental
Kasaï-Central,Kananga,Div_snis,Ndesha,CD9101ZS05,NdeshaKasaï-Central,DSNIS,,wq3tWiKJkNr,,,Kasai-Occidental
Kasaï-Central,Kananga,Div_snis,Tshikaji,CD9101ZS06,TshikajiKasaï-Central,DSNIS,,U6rNBblejC5,Basse,,Kasai-Occidental
Kasaï-Central,Kazumba,Div_snis,Bilomba,CD9105ZS01,BilombaKasaï-Central,DSNIS,,FwiMpLozKls,,,Kasai-Occidental
Kasaï-Central,Dibaya,Div_snis,Bunkonde,CD9102ZS01,BunkondeKasaï-Central,DSNIS,,Al39AWPqFCc,,,Kasai-Occidental
Kasaï-Central,Kazumba,Div_snis,Mikalayi,CD9105ZS03,MikalayiKasaï-Central,DSNIS,,csMZZqDFCvW,,,Kasai-Occidental
Kasaï-Central,Luiza,Div_snis,Luambo,CD9104ZS01,LuamboKasaï-Central,DSNIS,,lRLzCt3aMHM,Basse,,Kasai-Occidental
Kasaï-Central,Dimbelenge,Div_snis,Katende,CD9107ZS02,KatendeKasaï-Central,DSNIS,,Ko8qaFXjOIM,,,Kasai-Occidental
Kasaï-Central,Dibaya,Div_snis,Lubondaie,CD9102ZS03,LubondaieKasaï-Central,DSNIS,,ZIEdn6Pptv7,,,Kasai-Occidental
Kasaï-Central,Demba,OMS,Demba,CD9106ZS02,DembaKasaï-Central,DSNIS,,F8Spet7wqMK,,,Kasai-Occidental
Kasaï-Central,Demba,OMS,Mutoto,CD9106ZS03,MutotoKasaï-Central,DSNIS,,QtlqWolz843,,,Kasai-Occidental
Kasaï-Central,Dimbelenge,Div_snis,Lubunga,CD9107ZS03,LubungaKasaï-Central,DSNIS,,FTamklKvHl5,,,Kasai-Occidental
Kasaï-Central,Kananga,OMS,Kananga,CD9101ZS02,KanangaKasaï-Central,DSNIS,,m2DHxGhogWK,,,Kasai-Occidental
Kasaï-Central,Kananga,Div_snis,Lukonga,CD9101ZS04,LukongaKasaï-Central,DSNIS,,SAt8yoeSMjD,,,Kasai-Occidental
Sud-Ubangi,Kungu,OMS,Boto,CD4204ZS02,BotoSud-Ubangi,DSNIS,,FzA1yCf8PY7,,,Equateur
Sud-Ubangi,Budjala,OMS,Ndage,CD4203ZS05,NdageSud-Ubangi,DSNIS,,GMlNzqj2WDG,,,Equateur
Kasaï-Central,Kananga,Div_snis,Bobozo,CD9101ZS01,BobozoKasaï-Central,DSNIS,,MlE1k08houk,,,Kasai-Occidental
Nord-Kivu,Lubero,OCHA,Manguredjipa,CD6105ZS05,ManguredjipaNord-Kivu,DSNIS,,IyDb5geWMDN,,,Nord-Kivu
Sud-Kivu,Mwenga,OMS,Mwana,CD6212ZS04,MwanaSud-Kivu,DSNIS,,nfYQfVxJRyJ,,,Sud-Kivu
Sud-Kivu,Walungu,OMS,Kaziba,CD6207ZS01,KazibaSud-Kivu,DSNIS,,a2dADiJAGrT,,,Sud-Kivu
Sud-Kivu,Kabare,OMS,Nyantende,CD6202ZS05,NyantendeSud-Kivu,DSNIS,,R1E0VjRQ4SN,,,Sud-Kivu
Sud-Kivu,Walungu,OMS,Nyangezi,CD6207ZS03,NyangeziSud-Kivu,DSNIS,,sai4xbqW0CL,,,Sud-Kivu
Sud-Kivu,Kabare,OMS,Kabare,CD6202ZS01,KabareSud-Kivu,DSNIS,,zqUe1DuDMxH,,,Sud-Kivu
Sud-Kivu,Walungu,OMS,Mubumbano,CD6207ZS02,MubumbanoSud-Kivu,DSNIS,,JzBIOZSJfmJ,,,Sud-Kivu
Sud-Kivu,Walungu,OMS,Walungu,CD6207ZS04,WalunguSud-Kivu,DSNIS,,x4xQfjclCTo,,,Sud-Kivu
Sud-Kivu,Uvira,OMS,Hauts-Plateaux,CD6208ZS01,Hauts-PlateauxSud-Kivu,DSNIS,,CP7PqKqIADY,,,Sud-Kivu
Sud-Kivu,Kabare,OMS,Kaniola,CD6202ZS02,KaniolaSud-Kivu,DSNIS,,lXfXl6ZJQWI,,,Sud-Kivu
Sud-Kivu,Kalehe,OMS,Kalonge,CD6205ZS03,KalongeSud-Kivu,DSNIS,,iPD8STDLALc,,,Sud-Kivu
Sud-Kivu,Kalehe,OMS,Bunyakiri,CD6205ZS01,BunyakiriSud-Kivu,DSNIS,,Th9eFA4VSq6,,,Sud-Kivu
Sud-Kivu,Uvira,OMS,Uvira,CD6208ZS04,UviraSud-Kivu,DSNIS,,mx8PkwuIR5x,,,Sud-Kivu
Sud-Kivu,Mwenga,OMS,Kitutu,CD6212ZS03,KitutuSud-Kivu,DSNIS,,n1r14Rh3NvB,,,Sud-Kivu
Sud-Kivu,Mwenga,OMS,Kamituga,CD6212ZS02,KamitugaSud-Kivu,DSNIS,,rv3KA7DrJCO,,,Sud-Kivu
Sud-Kivu,Mwenga,OMS,Itombwe,CD6212ZS01,ItombweSud-Kivu,DSNIS,,ZwpyTsxIyb3,,,Sud-Kivu
Sud-Kivu,Fizi,OMS,Minembwe,CD6210ZS03,MinembweSud-Kivu,DSNIS,,i3NxrFDG9hU,,,Sud-Kivu
Sud-Kivu,Fizi,OMS,Nundu,CD6210ZS04,NunduSud-Kivu,DSNIS,,pWBu6qPNvdv,,,Sud-Kivu
Sud-Kivu,Uvira,OMS,Ruzizi,CD6208ZS03,RuziziSud-Kivu,DSNIS,,jkonpGckbPg,,,Sud-Kivu
Sud-Kivu,Uvira,OMS,Lemera,CD6208ZS02,LemeraSud-Kivu,DSNIS,,XFUHGajCqjY,,,Sud-Kivu
Sud-Kivu,Shabunda,OMS,Shabunda,CD6203ZS04,ShabundaSud-Kivu,DSNIS,,MOESL4KbKoV,Moyenne,,Sud-Kivu
Sud-Kivu,Shabunda,OMS,Lulingu,CD6203ZS02,LulinguSud-Kivu,DSNIS,,UkT2MUS83YY,Moyenne,,Sud-Kivu
Sud-Kivu,Shabunda,OMS,Kalole,CD6203ZS01,KaloleSud-Kivu,DSNIS,,euP5fSU9vky,,,Sud-Kivu
Sud-Kivu,Mwenga,OMS,Mwenga,CD6212ZS05,MwengaSud-Kivu,DSNIS,,Q3HTytyiRyL,,,Sud-Kivu
Sud-Kivu,Shabunda,OMS,Mulungu,CD6203ZS03,MulunguSud-Kivu,DSNIS,,tJmFpEp4TCb,Moyenne,,Sud-Kivu
Sud-Kivu,Bukavu,OMS,Bagira,CD6201ZS01,BagiraSud-Kivu,DSNIS,,aOghManYK5E,Tres haute,,Sud-Kivu
Sud-Kivu,Bukavu,OMS,Kadutu,CD6201ZS03,KadutuSud-Kivu,DSNIS,,bfFprcRp0YO,Tres haute,,Sud-Kivu
Sud-Kivu,Bukavu,OMS,Ibanda,CD6201ZS02,IbandaSud-Kivu,DSNIS,,jOxDAa0HM4a,Tres haute,,Sud-Kivu
Sud-Kivu,Kabare,OMS,Katana,CD6202ZS03,KatanaSud-Kivu,DSNIS,,TpB2SUwsDbn,Moyenne,,Sud-Kivu
Lualaba,Mutshatsha,OMS,Lualaba,CD7202ZS02,LualabaLualaba,DSNIS,,uFV6BUpJi7E,,,Katanga
Lualaba,Dilolo,OMS,Dilolo,CD7205ZS01,DiloloLualaba,DSNIS,,kwvvScW5Xgj,,,Katanga
Lualaba,Lubudi,OMS,Fungurume,CD7203ZS02,FungurumeLualaba,DSNIS,,eWGgthNBOZ8,,,Katanga
Haut-Katanga,Kambove,OMS,Manika,CD7105ZS04,ManikaHaut-Katanga,DSNIS,,xMdqjEKgZLw,,,Katanga
Sud-Kivu,Kalehe,OMS,Minova,CD6205ZS04,MinovaSud-Kivu,DSNIS,,oNybyvjU5ZT,,,Sud-Kivu
Sud-Kivu,Kalehe,OMS,Kalehe,CD6205ZS02,KaleheSud-Kivu,DSNIS,,OWrtstWKEly,,,Sud-Kivu
Sud-Kivu,Kabare,OMS,Miti-Murhesa,CD6202ZS04,Miti-MurhesaSud-Kivu,DSNIS,,cXkCT53xxfk,Moyenne,,Sud-Kivu
Sud-Kivu,Idjwi,OMS,Idjwi,CD6206ZS01,IdjwiSud-Kivu,DSNIS,,Bxi65HPz420,,,Sud-Kivu
Lualaba,Mutshatsha,OMS,Dilala,CD7202ZS01,DilalaLualaba,DSNIS,,mSQE0BqfXOy,,,Katanga
Nord-Ubangi,Yakoma,OMS,Wapinda,CD4304ZS02,WapindaNord-Ubangi,DSNIS,,CSvyaLZJiEt,,,Equateur
Kwilu,Bulungu,ESP-UCLA,Vanga,CD3204ZS05,VangaKwilu,DSNIS,2018-04-24,fXTBfVcge4w,Tres haute,,Bandundu
Kwango,Kasongo-Lunda,ESP-UCLA,Tembo,CD3106ZS04,TemboKwango,DSNIS,2018-04-24,dazaa6QjHa1,Tres haute,,Bandundu
Kwilu,Bagata,ESP-UCLA,Sia,CD3202ZS03,SiaKwilu,DSNIS,2018-04-24,poOqTlUDT0A,Tres haute,,Bandundu
Kwilu,Bulungu,ESP-UCLA,Pay Kongila,CD3204ZS04,Pay KongilaKwilu,DSNIS,2018-04-24,smw3DtURc1n,Tres haute,,Bandundu
Kwango,Kasongo-Lunda,ESP-UCLA,Panzi,CD3106ZS03,PanziKwango,DSNIS,2018-04-24,Kl436vOuc9s,Tres haute,,Bandundu
Kwango,Feshi,ESP-UCLA,Mwela Lembwa,CD3103ZS03,Mwela LwembaKwango,DSNIS,2018-04-24,jzvghlGm7Hp,Tres haute,,Bandundu
Kwilu,Masi-Manimba,ESP-UCLA,Mosango,CD3212ZS03,MosangoKwilu,DSNIS,2018-04-24,JRaVxSGfJ9Z,Tres haute,,Bandundu
Kwilu,Masi-Manimba,ESP-UCLA,Moanza,CD3212ZS02,MoanzaKwilu,DSNIS,2018-04-24,N1K2MB4mUJ8,Tres haute,,Bandundu
Kwilu,Masi-Manimba,ESP-UCLA,Masi-Manimba,CD3212ZS01,Masi-ManimbaKwilu,DSNIS,2018-04-24,VYlgP4yyY7F,Tres haute,,Bandundu
Kwilu,Bulungu,ESP-UCLA,Lusanga,CD3204ZS03,LusangaKwilu,DSNIS,2018-04-24,WziDY5wD1fX,Tres haute,,Bandundu
Kwango,Kasongo-Lunda,ESP-UCLA,Kitenda,CD3106ZS02,KitendaKwango,DSNIS,2018-04-24,c66ur6Nda04,Tres haute,,Bandundu
Kwilu,Kikwit,ESP-UCLA,Kikwit-Sud,CD3203ZS02,Kikwit-SudKwilu,DSNIS,2018-04-24,Y8Hlj8DpZHc,Tres haute,,Bandundu
Kwilu,Kikwit,ESP-UCLA,Kikwit-Nord,CD3203ZS01,Kikwit-NordKwilu,DSNIS,2018-04-24,GaaOhIJU3Bx,Tres haute,,Bandundu
Kwango,Feshi,ESP-UCLA,Feshi,CD3103ZS01,FeshiKwango,DSNIS,2018-04-24,vyNZCFIed9O,Tres haute,,Bandundu
Kwilu,Bulungu,ESP-UCLA,Djuma,CD3204ZS02,DjumaKwilu,DSNIS,2018-04-24,IgSLfQbGSnF,Tres haute,,Bandundu
Kwilu,Bulungu,ESP-UCLA,Bulungu,CD3204ZS01,BulunguKwilu,DSNIS,2018-04-24,e6Wpbl5nqcD,Tres haute,,Bandundu
MAI NDOMBE,Bolobo,ESP-UCLA,Bolobo,CD3308ZS01,BoloboMaï-Ndombe,DSNIS,2018-04-24,MiaMAqYujLY,Tres haute,,Bandundu
Sankuru,Lodja,OMS,Omendjadi,CD8303ZS02,OmendjadiSankuru,DSNIS,,Bf1FDCIjIoE,,,Kasai-Oriental
Sankuru,Lomela,OMS,Lomela,CD8307ZS01,LomelaSankuru,DSNIS,,L08zgLln431,,,Kasai-Oriental
Tshuapa,Ikela,DSNIS,Ikela,CD4505ZS01,IkelaTshuapa,DSNIS,2020-12-11,S3K6ShnHjIY,Basse,,Equateur
Kwilu,Idiofa,ESP-UCLA,Kimputu,CD3206ZS03,KimputuKwilu,DSNIS,2018-04-24,GaFyM05saxx,Tres haute,,Bandundu
Kwilu,Idiofa,ESP-UCLA,Idiofa,CD3206ZS01,IdiofaKwilu,DSNIS,2018-04-24,riGgtQ9beB5,Tres haute,,Bandundu
Kwilu,Idiofa,ESP-UCLA,Mungindu,CD3206ZS06,MunginduKwilu,DSNIS,2018-04-24,CyHuq664hCU,Tres haute,,Bandundu
Kwilu,Gungu,ESP-UCLA,Kingandu,CD3210ZS02,KinganduKwilu,DSNIS,2018-04-24,QVjGTE0nOen,Tres haute,,Bandundu
Kwilu,Gungu,ESP-UCLA,Gungu,CD3210ZS01,GunguKwilu,DSNIS,2018-04-24,GuAIPcinFIj,Tres haute,,Bandundu
Kwango,Feshi,ESP-UCLA,Kisanji,CD3103ZS02,KisanjiKwango,DSNIS,2018-04-24,ni4XTmpzmVX,Tres haute,,Bandundu
Kwango,Kahemba,ESP-UCLA,Kajiji,CD3105ZS02,KajijiKwango,DSNIS,2018-04-24,LhkH0lpHnU0,Tres haute,,Bandundu
Kwilu,Gungu,ESP-UCLA,Mukedi,CD3210ZS03,MukediKwilu,DSNIS,2018-04-24,Tt1rjDuQtRh,Tres haute,,Bandundu
Kwilu,Bandundu,ESP-UCLA,Bandundu,CD3201ZS01,BandunduKwilu,DSNIS,2018-04-24,KJPFKwgcqyd,Tres haute,,Bandundu
Kwilu,Masi-Manimba,ESP-UCLA,Yasa-Bonga,CD3212ZS04,Yasa-BongaKwilu,DSNIS,2018-04-24,NxFuYzZy7Bn,Tres haute,,Bandundu
Kwilu,Bagata,ESP-UCLA,Bagata,CD3202ZS01,BagataKwilu,DSNIS,2018-04-24,k06WV7FTN9D,Tres haute,,Bandundu
Kwango,Kasongo-Lunda,ESP-UCLA,Wamba Lwadi,CD3106ZS05,Wamba LwadiKwango,DSNIS,2018-04-24,xUfv1fcnAmb,Tres haute,,Bandundu
Kwango,Kasongo-Lunda,ESP-UCLA,Kasongo-Lunda,CD3106ZS01,Kasongo-LundaKwango,DSNIS,2018-04-24,eIpu2GCPTIP,Tres haute,,Bandundu
Kwango,Kenge,ESP-UCLA,Kenge,CD3102ZS02,KengeKwango,DSNIS,2018-04-24,Qx104OFTrS6,Tres haute,,Bandundu
Kwango,Popokabaka,ESP-UCLA,Popokabaka,CD3108ZS01,PopokabakaKwango,DSNIS,2018-04-24,Otc087GDtkQ,Tres haute,,Bandundu
Kwango,Kenge,ESP-UCLA,Kimbau,CD3102ZS03,KimbauKwango,DSNIS,2018-04-24,lJaJ763sqNI,Tres haute,,Bandundu
Kongo-Central,Madimba,OMS,Nselo,CD2017ZS03,NseloKongo-Central,DSNIS,,TqMyBh0yNwZ,,,Bas-Congo
MAI NDOMBE,Kwamouth,ESP-UCLA,Kwamouth,CD3307ZS01,KwamouthMaï-Ndombe,DSNIS,2018-04-24,nTMZjDaAgBb,Tres haute,,Bandundu
Kwango,Kenge,ESP-UCLA,Boko,CD3102ZS01,BokoKwango,DSNIS,2018-04-24,tUhIQ4MVPVI,Tres haute,,Bandundu
Kwilu,Bagata,ESP-UCLA,Kikongo,CD3202ZS02,KikongoKwilu,DSNIS,2018-04-24,DrEgd3k7YFu,Tres haute,,Bandundu
Kongo-Central,Kimvula,OMS,Kimvula,CD2019ZS01,KimvulaKongo-Central,DSNIS,,ZSbsXl7Zsf8,,,Bas-Congo
Equateur,Mbandaka,UCLA-RDC,Wangata,CD4101ZS03,WangataEquateur,DSNIS,2018-05-23,J0LvPM9HPVN,Tres haute,,Equateur
Equateur,Bolomba,OMS,Lolanga Mampoko,CD4108ZS02,Lolanga MampokoEquateur,DSNIS,,pBzecjfopeA,,,Equateur
Sud-Ubangi,Libenge,OMS,Mawuya,CD4205ZS02,MawuyaSud-Ubangi,DSNIS,,HL8XdWF8Sne,,,Equateur
MAI NDOMBE,Inongo,ESP-UCLA,Ntandembelo,CD3302ZS03,NtandembeloMaï-Ndombelo,DSNIS,2018-04-24,Kts0Ppbd4En,Tres haute,,Bandundu
MAI NDOMBE,Yumbi,ESP-UCLA,Yumbi,CD3310ZS01,YumbiMaï-Ndombe,DSNIS,2018-04-24,VOwZTRAt0Ak,Tres haute,,Bandundu
Equateur,Bomongo,OMS,Lilanga Bobangi,CD4104ZS02,Lilanga BobangiEquateur,DSNIS,,N1S6mK9QTE5,,,Equateur
MAI NDOMBE,Mushie,ESP-UCLA,Mushie,CD3311ZS01,MushieMaï-Ndombe,DSNIS,2018-04-24,EDu64jGXwRe,Tres haute,,Bandundu
MAI NDOMBE,Kutu,ESP-UCLA,Nioki,CD3306ZS02,NiokiMaï-Ndombe,DSNIS,2018-04-24,j89PZlq83OT,Tres haute,,Bandundu
MAI NDOMBE,Inongo,ESP-UCLA,Inongo,CD3302ZS02,InongoMaï-Ndombe,DSNIS,2018-04-24,PIT5UiywHIa,Tres haute,,Bandundu
Equateur,Lukolela,OMS,Lukolela,CD4103ZS02,LukolelaEquateur,DSNIS,,hH0vfyk0M5B,,,Equateur
MAI NDOMBE,Inongo,ESP-UCLA,Banjow Moke,CD3302ZS01,Banjow MokeMaï-Ndombe,DSNIS,2018-04-24,Vf0Hzcf5ux3,Tres haute,,Bandundu
Equateur,Mbandaka,UCLA-RDC,Mbandaka,CD4101ZS02,MbandakaEquateur,DSNIS,2018-05-23,DmRUZqBRNzB,Tres haute,,Equateur
Equateur,Mbandaka,UCLA-RDC,Bolenge,CD4101ZS01,BolengeEquateur,DSNIS,2018-05-23,MMnBp2lllhf,Tres haute,,Equateur
Equateur,Bikoro,OMS,Ntondo,CD4102ZS03,NtondoEquateur,DSNIS,,Tt7ZtAGLNOp,,,Equateur
Equateur,Lukolela,OMS,Irebu,CD4103ZS01,IrebuEquateur,DSNIS,,p40o8g3kdQL,,,Equateur
Equateur,Bikoro,UCLA-RDC,Bikoro,CD4102ZS01,BikoroEquateur,DSNIS,2018-05-23,NMRFBOfk41A,Tres haute,,Equateur
Tshuapa,Bokungu,DSNIS,Bokungu,CD4506ZS01,BokunguTshuapa,DSNIS,2020-12-11,rhVkq8RX6BV,Basse,,Equateur
Equateur,Bikoro,OMS,Iboko,CD4102ZS02,IbokoEquateur,DSNIS,,QltsFPvfG7J,Tres haute,,Equateur
Equateur,Ingende,UCLA-RDC,Ingende,CD4109ZS01,IngendeEquateur,DSNIS,2018-05-23,ER2ozdS2Ysm,Tres haute,,Equateur
Tshuapa,Befale,DSNIS,Mompono,CD4503ZS02,MomponoTshuapa,DSNIS,2020-12-11,Oiv2yYIjRrm,Basse,,Equateur
Equateur,Bolomba,OMS,Monieka,CD4108ZS03,MoniekaEquateur,DSNIS,,FXSygz18Lfk,,,Equateur
Tshuapa,Befale,DSNIS,Befale,CD4503ZS01,BefaleTshuapa,DSNIS,2020-12-11,gBHYNsh9EjA,Basse,,Equateur
Tshuapa,Djolu,DSNIS,Lingomo,CD4504ZS02,LingomoTshuapa,DSNIS,2020-12-11,hM2ZsK1vEox,Basse,,Equateur
Equateur,Basankusu,OMS,Djombo,CD4107ZS02,DjomboEquateur,DSNIS,,gcWEhRl00iJ,,,Equateur
Mongala,Bongandanga,OMS,Bosondjo,CD4405ZS03,BosondjoMongala,DSNIS,,jm3dqXXoblR,,,Equateur
Mongala,Bongandanga,OMS,Bongandanga,CD4405ZS01,BongandangaMongala,DSNIS,,DvgAtRmciu7,,,Equateur
Mongala,Bongandanga,OMS,Pimu,CD4405ZS04,PimuMongala,DSNIS,,YrNj0gTvp4l,,,Equateur
Mongala,Bongandanga,OMS,Boso Mondanda,CD4405ZS02,Boso MondandaMongala,DSNIS,,rWbNwJffOMY,,,Equateur
Mongala,Lisala,OMS,Lisala,CD4402ZS03,LisalaMongala,DSNIS,,Xol9qIrf1Gi,,,Equateur
Sud-Ubangi,Budjala,OMS,Mbaya,CD4203ZS04,MbayaSud-Ubangi,DSNIS,"2018",BWravV88qKy,Basse,,Equateur
Mongala,Lisala,OMS,Binga,CD4402ZS01,BingaMongala,DSNIS,,a0M4XJunan2,,,Equateur
Sud-Ubangi,Budjala,OMS,Bulu,CD4203ZS03,BuluSud-Ubangi,DSNIS,,uCYafBxBtO8,,,Equateur
Sud-Ubangi,Gemena,OMS,Gemena,CD4202ZS04,GemenaSud-Ubangi,DSNIS,,F2sZHvPlln6,,,Equateur
Sud-Ubangi,Gemena,OMS,Tandala,CD4202ZS05,TandalaSud-Ubangi,DSNIS,,nX75O17I2sY,,,Equateur
Sud-Ubangi,Budjala,OMS,Bangabola,CD4203ZS01,BangabolaSud-Ubangi,DSNIS,,aVeCzXx2CDZ,,,Equateur
Sud-Ubangi,Budjala,OMS,Budjala,CD4203ZS02,BudjalaSud-Ubangi,DSNIS,,J1nws7yZLvv,,,Equateur
