PROVINCE,TERRITOIRE,SCE_GEO,Nom,Pcode,cle,Sce_Sem,Modif,Code_DHIS2,Fiabilite,Code_SNIS,Anc_provin
Sankuru,Katako Kombe,OMS,Wembo Nyama,CD8308ZS03,Wembo NyamaSankuru,DSNIS,,dw6cxRCsTBH,,,Kasai-Oriental
Sankuru,Lusambo,OMS,Pania Mutombo,CD8302ZS03,Pania MutomboSankuru,DSNIS,,yzgZ77cqLEc,,,Kasai-Oriental
Sankuru,Lubefu,OMS,Minga,CD8309ZS02,MingaSankuru,DSNIS,,S6nnhxGaPR3,,,Kasai-Oriental
Sankuru,Lusambo,OMS,Lusambo,CD8302ZS01,LusamboSankuru,DSNIS,,x6qA2FLnw1e,,,Kasai-Oriental
Sankuru,Lodja,OMS,Vanga Kete,CD8303ZS03,Vanga KeteSankuru,DSNIS,,UXxD0fWI2yS,,,Kasai-Oriental
Sankuru,Lodja,OMS,Lodja,CD8303ZS01,LodjaSankuru,DSNIS,,fJD7wOwwi4M,,,Kasai-Oriental
Sankuru,Katako Kombe,OMS,Katako Kombe,CD8308ZS02,Katako KombeSankuru,DSNIS,,IPDJ2AFLJ1q,,,Kasai-Oriental
Kongo-Central,Moanda,OMS,Moanda,CD2003ZS03,MoandaKongo-Central,DSNIS,,Zbg4fiy6f3t,,,Bas-Congo
Kongo-Central,Moanda,OMS,Kitona,CD2003ZS02,KitonaKongo-Central,DSNIS,,ADqfcJ05GHD,,,Bas-Congo
Kongo-Central,Boma,OMS,Boma,CD2002ZS01,BomaKongo-Central,DSNIS,,djWn21U4AVy,,,Bas-Congo
Kongo-Central,Moanda,OMS,Boma Bungu,CD2003ZS01,Boma BunguKongo-Central,DSNIS,,vquecO03tD0,,,Bas-Congo
Kongo-Central,Lukula,OMS,Lukula,CD2005ZS02,LukulaKongo-Central,DSNIS,,KlQNBFiC8Cf,,,Bas-Congo
Kongo-Central,Tshela,OMS,Tshela,CD2007ZS04,TshelaKongo-Central,DSNIS,,hniXpSX7Zrq,,,Bas-Congo
Kongo-Central,Tshela,OMS,Vaku,CD2007ZS05,VakuKongo-Central,DSNIS,,ZRDAZVZ4HMV,,,Bas-Congo
Kongo-Central,Tshela,OMS,Kizu,CD2007ZS02,KizuKongo-Central,DSNIS,,TQ5nmMVD9uY,,,Bas-Congo
Bas-Uele,Poko,OMS,Poko,CD5208ZS01,PokoBas-Uele,DSNIS,,iqV2dwy0B1b,,,Oriental
Bas-Uele,Buta,OMS,Buta,CD5202ZS01,ButaBas-Uele,DSNIS,,pggZxV6O3iF,,,Oriental
Bas-Uele,Buta,OMS,Titule,CD5202ZS02,TituleBas-Uele,DSNIS,,EgtXyZdGsLP,,,Oriental
Bas-Uele,Bambesa,OMS,Ganga,CD5209ZS01,GangaBas-Uele,DSNIS,,QU7amTjhWlQ,,,Oriental
Sud-Ubangi,Gemena,OMS,Bwamanda,CD4202ZS03,BwamandaSud-Ubangi,DSNIS,,hlvN8zeyDZz,,,Equateur
Mongala,Bumba,OMS,Yamaluka,CD4404ZS03,YamalukaMongala,DSNIS,,Yo6u0UIHrfc,,,Equateur
Nord-Ubangi,Businga,OMS,Karawa,CD4305ZS02,KarawaNord-Ubangi,DSNIS,,N3EOJsjCXzW,,,Equateur
Sud-Ubangi,Gemena,OMS,Bominenge,CD4202ZS02,BominengeSud-Ubangi,DSNIS,,kYp7VK3USwS,,,Equateur
Mongala,Bumba,OMS,Yamongili,CD4404ZS05,YamongiliMongala,DSNIS,,wqYpElLVfnN,,,Equateur
Nord-Ubangi,Yakoma,OMS,Abuzi,CD4304ZS01,AbuziNord-Ubangi,DSNIS,,a4pMwNr59bj,,,Equateur
Nord-Ubangi,Yakoma,OMS,Wasolo,CD4304ZS03,WasoloNord-Ubangi,DSNIS,,PzrqwW6m5Wz,,,Equateur
Mongala,Bumba,OMS,Bumba,CD4404ZS01,BumbaMongala,DSNIS,,KxsehuKFqW3,,,Equateur
Tshuapa,Ikela,DSNIS,Mondombe,CD4505ZS02,MondombeTshuapa,DSNIS,2020-12-11,sJNFC3s1djp,Basse,,Equateur
Kongo-Central,Lukula,OMS,Kangu,CD2005ZS01,KanguKongo-Central,DSNIS,,bV04pTUIL8A,,,Bas-Congo
Kongo-Central,Tshela,OMS,Kuimba,CD2007ZS03,KuimbaKongo-Central,DSNIS,,ZekPSH5fUQ0,,,Bas-Congo
Kongo-Central,Kasangulu,OMS,Masa,CD2015ZS01,MasaKongo-Central,DSNIS,,yb4Q3Xo1EUo,,,Bas-Congo
Sud-Ubangi,Zongo,OMS,Zongo,CD4206ZS01,ZongoSud-Ubangi,DSNIS,,QNFYEQrW7Dy,,,Equateur
Sud-Ubangi,Libenge,OMS,Libenge,CD4205ZS01,LibengeSud-Ubangi,DSNIS,,ArdlF8PnpYL,,,Equateur
Nord-Ubangi,Bosobolo,OMS,Bili,CD4306ZS01,BiliNord-Ubangi,DSNIS,,aU2jY9HAg9u,,,Equateur
